name,season,age,actual_war,predicted_war,error,abs_error,yr_ahead
RamÃ³n Laureano,2023,28,1.7,1.85,0.15,0.15,1
RamÃ³n Laureano,2024,29,1.3,1.8,0.5,0.5,2
RamÃ³n Laureano,2025,30,3.8,1.74,-2.06,2.06,3
RamÃ³n UrÃ­as,2023,29,1.8,2.5,0.7,0.7,1
RamÃ³n UrÃ­as,2024,30,1.4,2.06,0.66,0.66,2
RamÃ³n UrÃ­as,2025,31,2.2,1.99,-0.21,0.21,3
Randal Grichuk,2023,31,1.4,0.85,-0.55,0.55,1
Randal Grichuk,2024,32,2.2,0.85,-1.35,1.35,2
Randy Arozarena,2023,28,3.4,2.97,-0.43,0.43,1
Randy Arozarena,2024,29,1.7,2.73,1.03,1.03,2
Randy Arozarena,2025,30,4.0,2.45,-1.55,1.55,3
Reese McGuire,2024,29,0.2,0.79,0.59,0.59,2
Reese McGuire,2025,30,0.3,0.72,0.42,0.42,3
Rhys Hoskins,2025,32,0.9,2.0,1.1,1.1,3
Riley Adams,2023,27,1.1,0.56,-0.54,0.54,1
Riley Adams,2024,28,0.2,0.6,0.4,0.4,2
Riley Adams,2025,29,0.4,0.57,0.17,0.17,3
Robbie Grossman,2023,33,0.1,0.87,0.77,0.77,1
Ronald AcuÃ±a Jr.,2023,25,8.4,3.73,-4.67,4.67,1
Ronald AcuÃ±a Jr.,2024,26,0.0,3.6,3.6,3.6,2
Ronald AcuÃ±a Jr.,2025,27,3.0,3.53,0.53,0.53,3
Ryan Jeffers,2023,26,3.2,1.27,-1.93,1.93,1
Ryan Jeffers,2024,27,2.1,1.28,-0.82,0.82,2
Ryan Jeffers,2025,28,1.2,1.25,0.05,0.05,3
Ryan McMahon,2023,28,2.9,2.62,-0.28,0.28,1
Ryan McMahon,2024,29,2.3,2.09,-0.21,0.21,2
Ryan McMahon,2025,30,2.3,1.95,-0.35,0.35,3
Ryan Mountcastle,2023,26,2.1,1.48,-0.62,0.62,1
Ryan Mountcastle,2024,27,2.4,1.35,-1.05,1.05,2
Ryan Mountcastle,2025,28,0.1,1.31,1.21,1.21,3
Salvador Perez,2023,33,0.4,2.03,1.63,1.63,1
Salvador Perez,2024,34,2.8,1.85,-0.95,0.95,2
Salvador Perez,2025,35,0.4,1.66,1.26,1.26,3
Sam Haggerty,2023,29,0.3,1.96,1.66,1.66,1
Sam Haggerty,2025,31,0.9,1.8,0.9,0.9,3
Sam Hilliard,2023,29,0.2,0.78,0.58,0.58,1
Sam Hilliard,2024,30,0.4,0.76,0.36,0.36,2
Santiago Espinal,2023,28,0.3,1.9,1.6,1.6,1
Sean Murphy,2023,28,4.0,2.3,-1.7,1.7,1
Sean Murphy,2024,29,1.3,1.9,0.6,0.6,2
Sean Murphy,2025,30,2.4,1.76,-0.64,0.64,3
Seth Brown,2023,30,0.3,1.44,1.14,1.14,1
Shohei Ohtani,2023,28,6.1,3.03,-3.07,3.07,1
Shohei Ohtani,2024,29,9.0,2.47,-6.53,6.53,2
Shohei Ohtani,2025,30,6.6,2.19,-4.41,4.41,3
Starling Marte,2024,35,0.6,2.01,1.41,1.41,2
Starling Marte,2025,36,1.0,1.86,0.86,0.86,3
Stuart Fairchild,2023,27,0.4,0.74,0.34,0.34,1
Stuart Fairchild,2024,28,1.0,0.7,-0.3,0.3,2
Taylor Walls,2023,26,2.0,2.02,0.02,0.02,1
Taylor Walls,2024,27,1.4,1.76,0.36,0.36,2
Taylor Walls,2025,28,2.6,1.66,-0.94,0.94,3
Taylor Ward,2023,29,1.7,1.82,0.12,0.12,1
Taylor Ward,2024,30,2.3,1.51,-0.79,0.79,2
Taylor Ward,2025,31,2.7,1.33,-1.37,1.37,3
Teoscar HernÃ¡ndez,2023,30,2.3,1.89,-0.41,0.41,1
Teoscar HernÃ¡ndez,2024,31,4.1,1.64,-2.46,2.46,2
Teoscar HernÃ¡ndez,2025,32,1.5,1.6,0.1,0.1,3
Thairo Estrada,2023,27,2.5,1.64,-0.86,0.86,1
Tim Anderson,2025,32,0.0,1.85,1.85,1.85,3
Tim Locastro,2023,30,0.4,1.15,0.75,0.75,1
Tom Murphy,2023,32,1.2,1.21,0.01,0.01,1
Tommy Edman,2023,28,2.1,3.35,1.25,1.25,1
Tommy Edman,2024,29,0.9,3.08,2.18,2.18,2
Tommy Edman,2025,30,1.1,2.87,1.77,1.77,3
Tommy Pham,2023,35,1.5,1.39,-0.11,0.11,1
Tommy Pham,2025,37,1.0,1.36,0.36,0.36,3
Travis Jankowski,2023,32,1.6,1.1,-0.5,0.5,1
Travis Jankowski,2024,33,0.4,1.09,0.69,0.69,2
Travis d'Arnaud,2023,34,0.2,1.28,1.08,1.08,1
Travis d'Arnaud,2024,35,1.1,0.92,-0.18,0.18,2
Trea Turner,2023,30,3.5,3.67,0.17,0.17,1
Trea Turner,2024,31,2.8,3.22,0.42,0.42,2
Trea Turner,2025,32,5.4,3.07,-2.33,2.33,3
Trent Grisham,2023,26,1.8,2.67,0.87,0.87,1
Trent Grisham,2024,27,0.4,2.54,2.14,2.14,2
Trent Grisham,2025,28,3.5,2.35,-1.15,1.15,3
Trevor Larnach,2024,27,1.3,1.01,-0.29,0.29,2
Trevor Larnach,2025,28,0.1,0.97,0.87,0.87,3
Trevor Story,2023,30,0.8,2.36,1.56,1.56,1
Trevor Story,2024,31,0.8,2.26,1.46,1.46,2
Trevor Story,2025,32,3.8,2.19,-1.61,1.61,3
Tucker Barnhart,2024,33,0.3,0.64,0.34,0.34,2
Ty France,2023,28,0.9,2.27,1.37,1.37,1
Ty France,2025,30,1.0,1.79,0.79,0.79,3
Tyler Heineman,2025,34,1.9,0.82,-1.08,1.08,3
Tyler O'Neill,2023,28,0.3,2.4,2.1,2.1,1
Tyler O'Neill,2024,29,2.9,2.23,-0.67,0.67,2
Tyler Stephenson,2023,26,0.6,1.71,1.11,1.11,1
Tyler Stephenson,2024,27,2.4,1.66,-0.74,0.74,2
Tyler Stephenson,2025,28,1.3,1.6,0.3,0.3,3
Tyrone Taylor,2023,29,0.4,1.82,1.42,1.42,1
Tyrone Taylor,2024,30,2.0,1.72,-0.28,0.28,2
Tyrone Taylor,2025,31,1.0,1.67,0.67,0.67,3
Victor Caratini,2023,29,0.7,0.81,0.11,0.11,1
Victor Caratini,2024,30,1.3,0.83,-0.47,0.47,2
Victor Caratini,2025,31,0.9,0.76,-0.14,0.14,3
Vladimir Guerrero Jr.,2023,24,1.8,3.71,1.91,1.91,1
Vladimir Guerrero Jr.,2024,25,6.0,3.66,-2.34,2.34,2
Vladimir Guerrero Jr.,2025,26,4.6,3.5,-1.1,1.1,3
VÃ­ctor Robles,2024,27,3.1,1.57,-1.53,1.53,2
Wander Franco,2023,22,5.4,3.06,-2.34,2.34,1
Whit Merrifield,2023,34,0.7,2.21,1.51,1.51,1
Whit Merrifield,2024,35,0.2,2.05,1.85,1.85,2
Will Smith,2023,28,4.1,3.36,-0.74,0.74,1
Will Smith,2024,29,3.4,2.99,-0.41,0.41,2
Will Smith,2025,30,4.5,2.72,-1.78,1.78,3
Willi Castro,2023,26,2.6,1.18,-1.42,1.42,1
Willi Castro,2024,27,1.6,1.22,-0.38,0.38,2
William Contreras,2023,25,3.7,1.77,-1.93,1.93,1
William Contreras,2024,26,5.0,1.67,-3.33,3.33,2
William Contreras,2025,27,3.9,1.55,-2.35,2.35,3
Willson Contreras,2023,31,3.3,2.21,-1.09,1.09,1
Willson Contreras,2024,32,3.0,1.94,-1.06,1.06,2
Willson Contreras,2025,33,2.5,1.91,-0.59,0.59,3
Willy Adames,2023,27,2.9,3.05,0.15,0.15,1
Willy Adames,2024,28,3.2,3.0,-0.2,0.2,2
Willy Adames,2025,29,3.7,2.89,-0.81,0.81,3
Wilmer Flores,2023,31,2.7,1.17,-1.53,1.53,1
Wilmer Flores,2025,33,0.3,1.15,0.85,0.85,3
Xander Bogaerts,2023,30,4.2,3.03,-1.17,1.17,1
Xander Bogaerts,2024,31,1.2,2.61,1.41,1.41,2
Xander Bogaerts,2025,32,2.0,2.21,0.21,0.21,3
Yan Gomes,2023,35,2.0,1.19,-0.81,0.81,1
Yandy DÃ­az,2023,31,5.1,2.33,-2.77,2.77,1
Yandy DÃ­az,2024,32,1.6,1.89,0.29,0.29,2
Yandy DÃ­az,2025,33,3.4,1.88,-1.52,1.52,3
Yasmani Grandal,2024,35,0.7,1.93,1.23,1.23,2
Yordan Alvarez,2023,26,4.5,4.6,0.1,0.1,1
Yordan Alvarez,2024,27,5.2,4.24,-0.96,0.96,2
Yordan Alvarez,2025,28,0.7,4.1,3.4,3.4,3
YoÃ¡n Moncada,2023,28,0.6,1.48,0.88,0.88,1
YoÃ¡n Moncada,2025,30,0.7,1.29,0.59,0.59,3
Yu Chang,2023,27,0.1,0.7,0.6,0.6,1
Yuli Gurriel,2024,40,0.2,1.44,1.24,1.24,2
