name,season,age,actual_war,predicted_war,abs_error,error,yr_ahead
Christian Walker,2023,32,3.7,2.6,1.1,-1.1,1
Christian Walker,2024,33,2.5,2.06,0.44,-0.44,2
Christian Walker,2025,34,0.2,1.93,1.73,1.73,3
Christian Yelich,2023,31,3.5,2.07,1.43,-1.43,1
Christian Yelich,2024,32,2.3,1.82,0.48,-0.48,2
Christian Yelich,2025,33,3.1,1.61,1.49,-1.49,3
Cody Bellinger,2023,27,4.8,3.3,1.5,-1.5,1
Cody Bellinger,2024,28,2.2,3.43,1.23,1.23,2
Cody Bellinger,2025,29,5.1,3.4,1.7,-1.7,3
Connor Joe,2023,30,0.7,1.43,0.73,0.73,1
Connor Joe,2024,31,0.7,1.41,0.71,0.71,2
Corey Seager,2023,29,7.2,3.86,3.34,-3.34,1
Corey Seager,2024,30,5.2,3.58,1.62,-1.62,2
Corey Seager,2025,31,6.2,3.57,2.63,-2.63,3
Curt Casali,2023,34,0.1,1.0,0.9,0.9,1
Curt Casali,2024,35,0.3,0.81,0.51,0.51,2
DJ LeMahieu,2023,34,1.3,2.45,1.15,1.15,1
DJ LeMahieu,2025,36,0.6,2.11,1.51,1.51,3
Daniel Vogelbach,2023,30,0.2,0.94,0.74,0.74,1
Danny Jansen,2023,28,1.6,1.89,0.29,0.29,1
Danny Jansen,2024,29,0.7,1.63,0.93,0.93,2
Danny Jansen,2025,30,2.8,1.51,1.29,-1.29,3
Dansby Swanson,2023,29,5.2,4.12,1.08,-1.08,1
Dansby Swanson,2024,30,4.0,3.48,0.52,-0.52,2
Dansby Swanson,2025,31,4.5,3.39,1.11,-1.11,3
Daulton Varsho,2023,26,3.6,3.06,0.54,-0.54,1
Daulton Varsho,2024,27,4.8,2.81,1.99,-1.99,2
Daulton Varsho,2025,28,2.8,2.52,0.28,-0.28,3
David Dahl,2024,30,0.3,1.3,1.0,1.0,2
David Fletcher,2023,29,0.1,1.66,1.56,1.56,1
David Peralta,2023,35,0.7,1.13,0.43,0.43,1
David Peralta,2024,36,0.8,1.15,0.35,0.35,2
Dominic Smith,2023,28,0.9,2.95,2.05,2.05,1
Dominic Smith,2024,29,0.0,3.06,3.06,3.06,2
Dominic Smith,2025,30,0.4,2.96,2.56,2.56,3
Donovan Solano,2023,35,1.6,1.13,0.47,-0.47,1
Donovan Solano,2024,36,1.0,1.11,0.11,0.11,2
Dylan Carlson,2023,24,0.5,1.65,1.15,1.15,1
Dylan Moore,2023,30,0.5,1.78,1.28,1.28,1
Dylan Moore,2024,31,2.1,1.77,0.33,-0.33,2
Dylan Moore,2025,32,0.4,1.73,1.33,1.33,3
Eddie Rosario,2023,31,1.2,1.99,0.79,0.79,1
Edmundo Sosa,2023,27,0.6,1.5,0.9,0.9,1
Edmundo Sosa,2024,28,2.2,1.34,0.86,-0.86,2
Edmundo Sosa,2025,29,2.3,1.2,1.1,-1.1,3
Elias DÃ­az,2023,32,1.5,0.91,0.59,-0.59,1
Elias DÃ­az,2024,33,1.2,0.96,0.24,-0.24,2
Eloy JimÃ©nez,2023,26,0.5,1.82,1.32,1.32,1
Elvis Andrus,2023,34,0.7,1.78,1.08,1.08,1
Emmanuel Rivera,2023,27,0.2,1.04,0.84,0.84,1
Emmanuel Rivera,2025,29,0.1,0.82,0.72,0.72,3
Eric Haase,2024,31,0.5,1.32,0.82,0.82,2
Eric Haase,2025,32,0.2,1.19,0.99,0.99,3
Eugenio SuÃ¡rez,2023,31,2.4,1.91,0.49,-0.49,1
Eugenio SuÃ¡rez,2024,32,3.0,1.61,1.39,-1.39,2
Eugenio SuÃ¡rez,2025,33,3.6,1.52,2.08,-2.08,3
Evan Longoria,2023,37,0.4,0.98,0.58,0.58,1
Fernando Tatis Jr.,2023,24,5.2,5.35,0.15,0.15,1
Fernando Tatis Jr.,2024,25,2.7,5.26,2.56,2.56,2
Fernando Tatis Jr.,2025,26,5.9,4.57,1.33,-1.33,3
Francisco Lindor,2023,29,6.1,3.69,2.41,-2.41,1
Francisco Lindor,2024,30,6.8,3.19,3.61,-3.61,2
Francisco Lindor,2025,31,5.9,3.15,2.75,-2.75,3
