name,season,age,actual_war,predicted_war,abs_error,error,yr_ahead
Rafael Devers,2025,28,4.1,2.52,1.58,-1.58,3
Rafael Ortega,2023,32,0.2,0.99,0.79,0.79,1
RamÃ³n Laureano,2023,28,1.7,2.06,0.36,0.36,1
RamÃ³n Laureano,2024,29,1.3,1.88,0.58,0.58,2
RamÃ³n Laureano,2025,30,3.8,1.78,2.02,-2.02,3
RamÃ³n UrÃ­as,2023,29,1.8,2.38,0.58,0.58,1
RamÃ³n UrÃ­as,2024,30,1.4,2.13,0.73,0.73,2
RamÃ³n UrÃ­as,2025,31,2.2,2.0,0.2,-0.2,3
Randal Grichuk,2023,31,1.4,0.9,0.5,-0.5,1
Randal Grichuk,2024,32,2.2,0.86,1.34,-1.34,2
Randy Arozarena,2023,28,3.4,3.08,0.32,-0.32,1
Randy Arozarena,2024,29,1.7,2.78,1.08,1.08,2
Randy Arozarena,2025,30,4.0,2.4,1.6,-1.6,3
Reese McGuire,2024,29,0.2,0.8,0.6,0.6,2
Reese McGuire,2025,30,0.3,0.76,0.46,0.46,3
Rhys Hoskins,2025,32,0.9,2.22,1.32,1.32,3
Riley Adams,2023,27,1.1,0.61,0.49,-0.49,1
Riley Adams,2024,28,0.2,0.61,0.41,0.41,2
Riley Adams,2025,29,0.4,0.61,0.21,0.21,3
Robbie Grossman,2023,33,0.1,1.05,0.95,0.95,1
Ronald AcuÃ±a Jr.,2023,25,8.4,3.98,4.42,-4.42,1
Ronald AcuÃ±a Jr.,2024,26,0.0,3.99,3.99,3.99,2
Ronald AcuÃ±a Jr.,2025,27,3.0,3.7,0.7,0.7,3
Ryan Jeffers,2023,26,3.2,1.3,1.9,-1.9,1
Ryan Jeffers,2024,27,2.1,1.31,0.79,-0.79,2
Ryan Jeffers,2025,28,1.2,1.25,0.05,0.05,3
Ryan McMahon,2023,28,2.9,2.58,0.32,-0.32,1
Ryan McMahon,2024,29,2.3,2.01,0.29,-0.29,2
Ryan McMahon,2025,30,2.3,1.93,0.37,-0.37,3
Ryan Mountcastle,2023,26,2.1,1.53,0.57,-0.57,1
Ryan Mountcastle,2024,27,2.4,1.42,0.98,-0.98,2
Ryan Mountcastle,2025,28,0.1,1.38,1.28,1.28,3
Salvador Perez,2023,33,0.4,2.42,2.02,2.02,1
Salvador Perez,2024,34,2.8,2.3,0.5,-0.5,2
Salvador Perez,2025,35,0.4,2.19,1.79,1.79,3
Sam Haggerty,2023,29,0.3,1.79,1.49,1.49,1
Sam Haggerty,2025,31,0.9,1.44,0.54,0.54,3
Sam Hilliard,2023,29,0.2,0.77,0.57,0.57,1
Sam Hilliard,2024,30,0.4,0.72,0.32,0.32,2
Santiago Espinal,2023,28,0.3,2.0,1.7,1.7,1
Sean Murphy,2023,28,4.0,2.95,1.05,-1.05,1
Sean Murphy,2024,29,1.3,2.61,1.31,1.31,2
Sean Murphy,2025,30,2.4,2.33,0.07,-0.07,3
Seth Brown,2023,30,0.3,1.41,1.11,1.11,1
Shohei Ohtani,2023,28,6.1,2.99,3.11,-3.11,1
Shohei Ohtani,2024,29,9.0,2.44,6.56,-6.56,2
Shohei Ohtani,2025,30,6.6,2.15,4.45,-4.45,3
Starling Marte,2024,35,0.6,2.32,1.72,1.72,2
Starling Marte,2025,36,1.0,2.15,1.15,1.15,3
Stuart Fairchild,2023,27,0.4,0.73,0.33,0.33,1
Stuart Fairchild,2024,28,1.0,0.69,0.31,-0.31,2
Taylor Walls,2023,26,2.0,1.95,0.05,-0.05,1
Taylor Walls,2024,27,1.4,1.71,0.31,0.31,2
Taylor Walls,2025,28,2.6,1.65,0.95,-0.95,3
Taylor Ward,2023,29,1.7,1.75,0.05,0.05,1
Taylor Ward,2024,30,2.3,1.53,0.77,-0.77,2
Taylor Ward,2025,31,2.7,1.32,1.38,-1.38,3
Teoscar HernÃ¡ndez,2023,30,2.3,2.15,0.15,-0.15,1
Teoscar HernÃ¡ndez,2024,31,4.1,1.92,2.18,-2.18,2
Teoscar HernÃ¡ndez,2025,32,1.5,1.9,0.4,0.4,3
Thairo Estrada,2023,27,2.5,1.52,0.98,-0.98,1
Tim Anderson,2025,32,0.0,2.46,2.46,2.46,3
Tim Locastro,2023,30,0.4,1.32,0.92,0.92,1
Tom Murphy,2023,32,1.2,1.1,0.1,-0.1,1
Tommy Edman,2023,28,2.1,3.49,1.39,1.39,1
Tommy Edman,2024,29,0.9,3.33,2.43,2.43,2
Tommy Edman,2025,30,1.1,3.02,1.92,1.92,3
Tommy Pham,2023,35,1.5,1.35,0.15,-0.15,1
Tommy Pham,2025,37,1.0,1.36,0.36,0.36,3
Travis Jankowski,2023,32,1.6,1.04,0.56,-0.56,1
Travis Jankowski,2024,33,0.4,1.0,0.6,0.6,2
Travis d'Arnaud,2023,34,0.2,1.32,1.12,1.12,1
Travis d'Arnaud,2024,35,1.1,0.98,0.12,-0.12,2
Trea Turner,2023,30,3.5,4.27,0.77,0.77,1
Trea Turner,2024,31,2.8,4.04,1.24,1.24,2
Trea Turner,2025,32,5.4,3.82,1.58,-1.58,3
Trent Grisham,2023,26,1.8,2.91,1.11,1.11,1
Trent Grisham,2024,27,0.4,2.99,2.59,2.59,2
Trent Grisham,2025,28,3.5,3.0,0.5,-0.5,3
Trevor Larnach,2024,27,1.3,1.13,0.17,-0.17,2
Trevor Larnach,2025,28,0.1,1.03,0.93,0.93,3
Trevor Story,2023,30,0.8,2.56,1.76,1.76,1
Trevor Story,2024,31,0.8,2.56,1.76,1.76,2
Trevor Story,2025,32,3.8,2.53,1.27,-1.27,3
Tucker Barnhart,2024,33,0.3,0.73,0.43,0.43,2
Ty France,2023,28,0.9,2.69,1.79,1.79,1
Ty France,2025,30,1.0,2.23,1.23,1.23,3
Tyler Heineman,2025,34,1.9,0.89,1.01,-1.01,3
Tyler O'Neill,2023,28,0.3,2.43,2.13,2.13,1
Tyler O'Neill,2024,29,2.9,2.35,0.55,-0.55,2
Tyler Stephenson,2023,26,0.6,1.66,1.06,1.06,1
Tyler Stephenson,2024,27,2.4,1.67,0.73,-0.73,2
Tyler Stephenson,2025,28,1.3,1.59,0.29,0.29,3
Tyrone Taylor,2023,29,0.4,1.75,1.35,1.35,1
Tyrone Taylor,2024,30,2.0,1.7,0.3,-0.3,2
Tyrone Taylor,2025,31,1.0,1.65,0.65,0.65,3
Victor Caratini,2023,29,0.7,0.82,0.12,0.12,1
Victor Caratini,2024,30,1.3,0.76,0.54,-0.54,2
Victor Caratini,2025,31,0.9,0.69,0.21,-0.21,3
Vladimir Guerrero Jr.,2023,24,1.8,3.81,2.01,2.01,1
Vladimir Guerrero Jr.,2024,25,6.0,3.67,2.33,-2.33,2
Vladimir Guerrero Jr.,2025,26,4.6,3.57,1.03,-1.03,3
VÃ­ctor Robles,2024,27,3.1,1.36,1.74,-1.74,2
Wander Franco,2023,22,5.4,3.01,2.39,-2.39,1
Whit Merrifield,2023,34,0.7,2.36,1.66,1.66,1
Whit Merrifield,2024,35,0.2,2.17,1.97,1.97,2
Will Smith,2023,28,4.1,3.46,0.64,-0.64,1
Will Smith,2024,29,3.4,3.42,0.02,0.02,2
Will Smith,2025,30,4.5,3.15,1.35,-1.35,3
Willi Castro,2023,26,2.6,1.35,1.25,-1.25,1
Willi Castro,2024,27,1.6,1.36,0.24,-0.24,2
William Contreras,2023,25,3.7,1.8,1.9,-1.9,1
William Contreras,2024,26,5.0,1.64,3.36,-3.36,2
William Contreras,2025,27,3.9,1.42,2.48,-2.48,3
Willson Contreras,2023,31,3.3,2.62,0.68,-0.68,1
Willson Contreras,2024,32,3.0,2.28,0.72,-0.72,2
Willson Contreras,2025,33,2.5,2.21,0.29,-0.29,3
Willy Adames,2023,27,2.9,3.18,0.28,0.28,1
Willy Adames,2024,28,3.2,3.19,0.01,-0.01,2
Willy Adames,2025,29,3.7,3.09,0.61,-0.61,3
Wilmer Flores,2023,31,2.7,1.47,1.23,-1.23,1
Wilmer Flores,2025,33,0.3,1.4,1.1,1.1,3
Xander Bogaerts,2023,30,4.2,3.49,0.71,-0.71,1
Xander Bogaerts,2024,31,1.2,2.94,1.74,1.74,2
Xander Bogaerts,2025,32,2.0,2.68,0.68,0.68,3
Yan Gomes,2023,35,2.0,1.21,0.79,-0.79,1
Yandy DÃ­az,2023,31,5.1,2.35,2.75,-2.75,1
Yandy DÃ­az,2024,32,1.6,2.03,0.43,0.43,2
Yandy DÃ­az,2025,33,3.4,1.96,1.44,-1.44,3
Yasmani Grandal,2024,35,0.7,1.79,1.09,1.09,2
Yordan Alvarez,2023,26,4.5,4.52,0.02,0.02,1
Yordan Alvarez,2024,27,5.2,3.95,1.25,-1.25,2
Yordan Alvarez,2025,28,0.7,3.84,3.14,3.14,3
YoÃ¡n Moncada,2023,28,0.6,1.62,1.02,1.02,1
YoÃ¡n Moncada,2025,30,0.7,1.34,0.64,0.64,3
Yu Chang,2023,27,0.1,0.73,0.63,0.63,1
Yuli Gurriel,2024,40,0.2,1.28,1.08,1.08,2
