player_id,name,position,bats,height_in,weight_lbs,sprint_speed,bmi,ISO,BB_pct,K_pct,wRC_plus,Def,BsR,OBP,SLG,contact_rate,power_speed,HR_rate,SB_rate,Rtot,Rdrs,peak_WAR,career_WAR,career_seasons,WAR_3yr_avg,debut_age,final_age,archetype_id,pca_x,pca_y,archetype_label
0,A.J. Burnett,DH,R,74.0,230,31.5,29.5,0.15,0.085,0.215,102.0350535540409,0.0,-0.5,0.32,0.42,0.785,4.725,0.21035,0.0701,0.0,0.0,0.2,0.6000000000000001,4,0.17500000000000002,28,37,0,-0.6159383584689765,2.4099374752700533,Bench/Utility Role
1,A.J. Ellis,C,R,72.5,210,27.925,28.1,0.12925,0.114375,0.191875,101.36771844660194,0.0,-1.125,0.335625,0.37374999999999997,0.808125,3.6351,0.04925,0.010950000000000001,3.0,-4.25,3.4,19.0,16,1.1937499999999999,29,37,3,-0.1427889603623981,-0.8400632536342583,Power Contact Hitter
2,A.J. Hinch,C,R,72.5,210,29.05,28.1,0.152,0.08199999999999999,0.159,93.0,-4.0,-1.0,0.321,0.401,0.841,4.4156,0.0318,0.0136,-4.0,0.0,0.5,1.0,2,0.5,28,28,3,-0.1898039860198665,-0.38690757844737833,Power Contact Hitter
3,A.J. Pierzynski,C,R,72.5,210,27.180666666666664,28.1,0.1452,0.04286666666666667,0.11906666666666667,94.20833333333333,-1.8666666666666667,-1.3333333333333333,0.3222,0.4282,0.8809333333333333,3.9478,0.033813333333333334,0.005180000000000001,-1.9333333333333333,-2.3333333333333335,4.5,51.4,30,1.69,23,38,3,-0.2575130860902099,-1.915430609716101,Power Contact Hitter
4,AJ Pollock,DH,R,74.0,230,30.16375,29.5,0.203125,0.068,0.177625,117.25,4.0,1.625,0.331125,0.481375,0.822375,6.110875,0.037375,0.0299125,2.125,4.0,6.8,45.2,16,2.99375,25,34,2,1.2700979168372633,-1.1554401469227082,Solid Contributor
5,Aaron Altherr,LF,R,73.0,210,30.41,27.7,0.2465,0.0885,0.2535,128.5,2.5,0.5,0.339,0.5025,0.7464999999999999,7.4977,0.0386,0.0247,0.5,2.5,1.9,7.4,4,1.8250000000000002,24,26,4,3.283755908127165,0.7009414343614079,Franchise Cornerstone
6,Aaron Boone,3B,R,73.5,210,29.59,27.3,0.17072727272727273,0.07472727272727274,0.165,106.54545454545455,0.8181818181818182,1.2727272727272727,0.3402727272727273,0.4400909090909091,0.8349999999999999,5.073909090909091,0.030227272727272728,0.020427272727272728,-0.45454545454545453,-0.18181818181818182,8.2,25.8,11,2.4909090909090907,27,34,3,0.6854257938013743,-1.247675239775665,Power Contact Hitter
7,Aaron Cook,DH,R,74.0,230,31.5,29.5,0.15,0.085,0.215,106.0403772472738,0.0,-0.3333333333333333,0.32,0.42,0.785,4.725,0.23363333333333333,0.07786666666666667,0.0,0.0,0.7,2.1999999999999997,6,0.43333333333333335,28,30,0,-0.5397402067605803,2.5596089080091957,Bench/Utility Role
8,Aaron Cunningham,LF,R,73.0,210,30.073333333333334,27.7,0.143,0.07266666666666667,0.20666666666666667,99.71977542581844,1.6666666666666667,-0.6666666666666666,0.3236666666666667,0.419,0.7933333333333333,4.3204666666666665,0.10923333333333334,0.03793333333333334,0.3333333333333333,0.0,0.4,1.4000000000000001,6,0.26666666666666666,22,25,0,-0.7072997466390871,0.8365673523104563,Bench/Utility Role
9,Aaron Guiel,DH,R,74.0,230,28.43,29.5,0.18819999999999998,0.0654,0.1734,109.8,2.4,0.4,0.348,0.465,0.8266,5.31584,0.033960000000000004,0.00796,1.0,2.4,1.8,7.2,5,1.58,30,33,3,1.0851564928940718,-1.4406465869624754,Power Contact Hitter
10,Aaron Harang,DH,R,74.0,230,31.5,29.5,0.15,0.085,0.215,103.44827586206897,0.0,0.0,0.32,0.42,0.785,4.725,0.2586,0.0862,0.0,0.0,0.2,0.4,2,0.2,37,37,0,-0.7284912922375882,2.890259051196382,Bench/Utility Role
11,Aaron Hicks,CF,R,72.5,195,30.471111111111114,26.1,0.15644444444444444,0.13144444444444445,0.22044444444444444,101.73326210826211,-0.5555555555555556,0.8888888888888888,0.3368333333333333,0.39149999999999996,0.7795555555555556,4.769055555555556,0.02865555555555556,0.020033333333333334,-1.2222222222222223,-0.5555555555555556,4.3,30.2,18,1.6555555555555557,23,33,1,0.5412925339971837,0.06525050957795513,High-K Power Threat
12,Aaron Hill,DH,R,74.0,230,28.92666666666667,29.5,0.15311111111111111,0.07216666666666666,0.13055555555555556,101.38888888888889,4.277777777777778,0.3888888888888889,0.3313888888888889,0.4261111111111111,0.8694444444444445,4.440133333333333,0.024927777777777778,0.009305555555555556,7.666666666666667,4.555555555555555,5.8,52.7,18,2.8833333333333333,23,34,2,-0.6789013438852655,-2.9456930214784403,Solid Contributor
13,Aaron Judge,DH,R,74.0,230,28.213333333333335,29.5,0.31877777777777777,0.15688888888888888,0.27466666666666667,175.88888888888889,5.555555555555555,0.2222222222222222,0.40555555555555556,0.609,0.7253333333333333,9.021466666666667,0.07775555555555555,0.012388888888888889,8.11111111111111,6.222222222222222,10.9,115.2,18,6.594444444444445,25,32,4,8.508981327216574,-1.9218889249498157,Franchise Cornerstone
14,Aaron Miles,DH,R,74.0,230,28.03333333333333,29.5,0.07566666666666667,0.05266666666666666,0.09500000000000001,86.0,4.333333333333333,0.3333333333333333,0.33266666666666667,0.3706666666666667,0.9049999999999999,2.1205,0.008833333333333334,0.012266666666666667,1.3333333333333333,4.333333333333333,2.2,7.800000000000001,6,1.4166666666666667,27,34,5,-3.229647957188281,-3.2906529972867657,Speedy Slap Hitter
15,Aaron Nola,DH,R,74.0,230,31.5,29.5,0.15,0.085,0.215,105.31746031746033,0.0,-0.5,0.32,0.42,0.785,4.725,0.2262,0.0754,0.0,0.0,0.3,1.2,4,0.3,26,28,0,-0.5488781845952967,2.527796700411623,Bench/Utility Role
