name,season,actual_war,predicted_war,error,abs_error,tier
Aaron Judge,2023,4.6,7.11,2.5100000000000007,2.5100000000000007,4-5
Adam Duvall,2023,1.6,1.82,0.21999999999999997,0.21999999999999997,1-2
Adam Frazier,2023,1.7,1.45,-0.25,0.25,1-2
Adolis GarcÃ­a,2023,4.5,3.13,-1.37,1.37,4-5
Akil Baddoo,2023,0.7,1.16,0.45999999999999996,0.45999999999999996,0-1
Alec Bohm,2023,0.5,1.57,1.07,1.07,0-1
Alejandro Kirk,2023,1.9,2.79,0.8900000000000001,0.8900000000000001,1-2
Alex Bregman,2023,4.9,3.26,-1.6400000000000006,1.6400000000000006,4-5
Alex Verdugo,2023,2.7,2.24,-0.45999999999999996,0.45999999999999996,2-3
Amed Rosario,2023,0.4,2.72,2.3200000000000003,2.3200000000000003,0-1
Andrew Benintendi,2023,0.4,2.6,2.2,2.2,0-1
Andrew Knizner,2023,1.0,0.85,-0.15000000000000002,0.15000000000000002,0-1
Andrew McCutchen,2023,1.4,1.0,-0.3999999999999999,0.3999999999999999,1-2
AndrÃ©s GimÃ©nez,2023,5.0,4.64,-0.3600000000000003,0.3600000000000003,4-5
Anthony Rendon,2023,0.1,2.65,2.55,2.55,0-1
Anthony Rizzo,2023,0.5,1.85,1.35,1.35,0-1
Anthony Santander,2023,3.0,2.04,-0.96,0.96,2-3
Austin Hays,2023,2.5,2.72,0.2200000000000002,0.2200000000000002,2-3
Austin Riley,2023,6.0,4.95,-1.0499999999999998,1.0499999999999998,5-6
Austin Slater,2023,0.8,1.46,0.6599999999999999,0.6599999999999999,0-1
Billy McKinney,2023,0.2,0.92,0.72,0.72,0-1
Bo Bichette,2023,4.8,3.99,-0.8099999999999996,0.8099999999999996,4-5
Brandon Belt,2023,2.0,1.47,-0.53,0.53,1-2
Brandon Drury,2023,2.0,1.63,-0.3700000000000001,0.3700000000000001,1-2
Brandon Lowe,2023,2.1,2.28,0.17999999999999972,0.17999999999999972,2-3
Brandon Marsh,2023,3.4,1.42,-1.98,1.98,3-4
Brandon Nimmo,2023,4.0,3.76,-0.2400000000000002,0.2400000000000002,3-4
Brendan Rodgers,2023,0.1,3.43,3.33,3.33,0-1
Brian Anderson,2023,0.5,1.67,1.17,1.17,0-1
Bryan Reynolds,2023,2.4,2.49,0.0900000000000003,0.0900000000000003,2-3
Bryce Harper,2023,3.6,2.65,-0.9500000000000002,0.9500000000000002,3-4
Byron Buxton,2023,0.7,3.36,2.66,2.66,0-1
Carlos Correa,2023,1.3,3.77,2.4699999999999998,2.4699999999999998,1-2
Carlos PÃ©rez,2023,0.5,1.11,0.6100000000000001,0.6100000000000001,0-1
Carlos Santana,2023,2.7,1.78,-0.9200000000000002,0.9200000000000002,2-3
